orig
EGFR
NTRK
ALK
KRAS
ROS1
BRAF
RET
NTRK
PD1
PDL1
CMET
HER2
PSA
MSI
BCR/ABL
MET
ER
PR
BRCA
KIT
NRAS
MMR/MSI
MLH1
MSH2
MSH6
PMS2
Kappa
Lambda
CD5
CD10
CD19
CD20
CD23
cyclin D1
CD 38
ZAP70
HRD
GIS
